Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9052132813410634,0.9047854505690598,0.9052132813410634,0.904549809442367
Naive Bayes,0.8515125211542622,0.8621568272877435,0.8515125211542622,0.8370767233010495
SVM,0.9170848214277842,0.9170293528144532,0.9170848214277842,0.9169277760146268
ANN,0.913207457868257,0.9130783011976012,0.913207457868257,0.9129752963791176
DistilBERT-SVM Classifier,0.9373257203558624,0.9373393163892656,0.9373257203558624,0.9372892528853808
